Agency,LongName
USDA,United States Department of Agriculture
CEQ,Council on Environmental Quality
LCA,Life Cycle Assessment Commons
EPA,Environmental Protection Agency
ANL,Argonne National Laboratory
DOJ,Department of Justice
Treasury,Department of the Treasury
DOT,Department of Transportation
DOI,Department of the Interior
FEMA,Federal Emergency Management Agency
USGCRP,United States Global Change Research Program
State,Department of State
NOAA,National Oceanic and Atmospheric Administration
DHHS,Department of Health and Human Services
NIEHS,National Institute of Environmental Health Sciences
DOE,Department of Energy
FWS,U.S. Fish and Wildlife Service
NREL,National Renewable Energy Laboratory
EDU,Department of Education
BOEM,Bureau of Ocean Energy Management
FAA,Federal Aviation Administration
ORNL,Oak Ridge National Laboratory
NPS,National Park Service
CDC,Centers for Disease Control and Prevention
GSA,General Services Administration
HUD,Department of Housing and Urban Development
