Title,Author,State,District,Date,Ban Status,lat,lon,year
Ace of Spades,"Àbíké-Íyímídé, Faridah",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
Clap When You Land,"Acevedo, Elizabeth",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
The Poet X,"Acevedo, Elizabeth",Florida,Indian River County School District,2021-11-01,Banned in Libraries,27.766279,-81.686783,2021.0
The Poet X,"Acevedo, Elizabeth",New York,Marlboro Central School District,2022-02-01,Banned in Libraries and Classrooms,42.165726,-74.948051,2022.0
The Poet X,"Acevedo, Elizabeth",Texas,Fredericksburg Independent School District,2022-03-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
The Poet X,"Acevedo, Elizabeth",Virginia,New Kent County Public Schools,2021-10-01,Banned in Libraries,37.769337,-78.169968,2021.0
Call Me By Your Name (Call Me By Your Name Series),"Aciman, André",Virginia,Spotsylvania County Public Schools,2021-11-01,Banned Pending Investigation,37.769337,-78.169968,2021.0
"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)","Acito, Marc",Florida,Indian River County School District,2021-11-01,Banned Pending Investigation,27.766279,-81.686783,2021.0
My Name Is María Isabel,"Ada, Alma Flor",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Time to Pray,"Addasi, Maha",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Children of Blood and Bone (Legacy of Orïsha Series),"Adeyemi, Tomi",Texas,Katy Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
"47,000 Beads","Adeyoha, Koja",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",Michigan,Hudsonville Public Schools,2022-01-01,Banned in Classrooms,43.326618,-84.536095,2022.0
Cool for the Summer,"Adler, Dahlia",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
The Accidental Adventures of India McAllister,"Agell, Charlotte",Texas,North East Independent School District,2021-12-01,Banned in Libraries,31.054487,-97.563461,2021.0
How It All Blew Up,"Ahmadi, Arvin",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
How It All Blew Up,"Ahmadi, Arvin",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Mae Among the Stars,"Ahmed, Roda",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
"Love, Hate & Other Filters","Ahmed, Samira",Mississippi,Madison County Schools,2022-04-01,Banned in Libraries,32.741646,-89.678696,2022.0
"Love, Hate & Other Filters","Ahmed, Samira",Wisconsin,School District of Waukesha,2021-12-01,Banned in Libraries,44.268543,-89.616508,2021.0
Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Here's to Us,"Albertalli, Becky",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Kate in Waiting,"Albertalli, Becky",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",Idaho,Nampa School District,2022-05-01,Banned in Libraries and Classrooms,44.240459,-114.478828,2022.0
Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
"Love, Creekwood: A Simonverse Novella (Simonverse Series)","Albertalli, Becky",Texas,North East Independent School District,2021-12-01,Banned in Libraries,31.054487,-97.563461,2021.0
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
What If It's Us (What If It's Us Series),"Albertalli, Becky",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
What If It's Us (What If It's Us Series),"Albertalli, Becky",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
What If It's Us (What If It's Us Series),"Albertalli, Becky",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Indivisible,"Aleman, Daniel",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
The Undefeated,"Alexander, Kwame",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",Texas,Klein Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Indian River County School District,2021-11-01,Banned in Libraries,27.766279,-81.686783,2021.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Jackson County School District,2022-04-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Lee County Schools,2022-03-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Santa Rosa County District Schools,2022-04-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,St. Lucie Public Schools,2022-01-01,Banned in Libraries,27.766279,-81.686783,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Walton County School District,2022-04-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Georgia,Forsyth County Schools,2022-01-01,Banned in Libraries,33.040619,-83.643074,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Idaho,Nampa School District,2022-05-01,Banned in Libraries and Classrooms,44.240459,-114.478828,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Iowa,Ankeny Community School District,2021-11-01,Banned in Libraries,42.011539,-93.210526,2021.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Iowa,Ottumwa Community School District,2022-04-01,Banned Pending Investigation,42.011539,-93.210526,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Kansas,Derby Public Schools,2021-11-01,Banned in Libraries and Classrooms,38.5266,-96.726486,2021.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Kansas,Goddard Public Schools,2021-11-01,Banned Pending Investigation,38.5266,-96.726486,2021.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Michigan,Gladwin Community Schools,2022-05-01,Banned Pending Investigation,43.326618,-84.536095,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Mississippi,Madison County Schools,2022-04-01,Banned in Libraries,32.741646,-89.678696,2022.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Oklahoma,Bristow Public Schools,2021-10-01,Banned Pending Investigation,35.565342,-96.928917,2021.0
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Texas,Fredericksburg Independent School District,2022-03-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
Thunder Boy Jr.,"Alexie, Sherman",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Girls Like Us (2019),"Alger, Cristina",Florida,Indian River County School District,2021-11-01,Banned in Libraries,27.766279,-81.686783,2021.0
The Case for Loving: The Fight for Interracial Marriage,"Alko, Selina",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
The House of the Spirits,"Allende, Isabel",Florida,Indian River County School District,2021-11-01,Banned Pending Investigation,27.766279,-81.686783,2021.0
The Ballad of Ami Miles,"Alley, Kristy Dallas",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony",Florida,Indian River County School District,2021-11-01,Banned Pending Investigation,27.766279,-81.686783,2021.0
A is for Audra: Broadway's Leading Ladies from A to Z,"Allman, John Robert",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
"Bioethics: Who Lives, Who Dies, And Who Decides?","Altman, Linda Jacobs",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
"Bioethics: Who Lives, Who Dies, And Who Decides?","Altman, Linda Jacobs",Texas,North East Independent School District,2021-12-01,Banned in Libraries,31.054487,-97.563461,2021.0
We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Amnesty International,Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
"Bless Me, Ultima","Anaya, Rudolfo",Oklahoma,Bristow Public Schools,2021-10-01,Banned Pending Investigation,35.565342,-96.928917,2021.0
The Weight of the Stars,"Ancrum, K.",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Victories Greater Than Death (Unstoppable Series),"Anders, Charlie Jane",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Neither,"Anderson, Airlie",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
White Rage: The Unspoken Truth of Our Racial Divide,"Anderson, Carol",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Shout,"Anderson, Laurie Halse",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
Shout,"Anderson, Laurie Halse",Texas,Leander Independent School District,2021-09-01,Banned in Classrooms,31.054487,-97.563461,2021.0
Shout,"Anderson, Laurie Halse",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Speak,"Anderson, Laurie Halse",Florida,Flagler Schools,2021-11-01,Banned Pending Investigation,27.766279,-81.686783,2021.0
Speak,"Anderson, Laurie Halse",Florida,Indian River County School District,2021-11-01,Banned Pending Investigation,27.766279,-81.686783,2021.0
Speak,"Anderson, Laurie Halse",Idaho,Nampa School District,2022-05-01,Banned in Libraries and Classrooms,44.240459,-114.478828,2022.0
Speak,"Anderson, Laurie Halse",Michigan,Gladwin Community Schools,2022-05-01,Banned Pending Investigation,43.326618,-84.536095,2022.0
Speak,"Anderson, Laurie Halse",Mississippi,Madison County Schools,2022-04-01,Banned in Libraries,32.741646,-89.678696,2022.0
Speak,"Anderson, Laurie Halse",Oklahoma,Bristow Public Schools,2021-10-01,Banned in Libraries,35.565342,-96.928917,2021.0
Feed,"Anderson, M. T.",Florida,Indian River County School District,2021-11-01,Banned Pending Investigation,27.766279,-81.686783,2021.0
Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,"Andrews, Arin",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Florida,Osceola County School District,2022-04-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Georgia,Forsyth County Schools,2022-01-01,Banned in Libraries and Classrooms,33.040619,-83.643074,2022.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Iowa,Ankeny Community School District,2021-11-01,Banned in Libraries,42.011539,-93.210526,2021.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Pennsylvania,Downingtown Area School District,2021-10-01,Banned Pending Investigation,40.590752,-77.209755,2021.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Pennsylvania,Elizabethtown Area School District,2022-04-01,Banned Pending Investigation,40.590752,-77.209755,2022.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Tennessee,Blount County Schools,2021-11-01,Banned in Libraries,35.747845,-86.692345,2021.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Texas,Cypress-Fairbanks Independent School District,2022-01-01,Banned in Libraries,31.054487,-97.563461,2022.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Texas,Fredericksburg Independent School District,2022-03-01,Banned in Libraries and Classrooms,31.054487,-97.563461,2022.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Texas,Katy Independent School District,2021-11-01,Banned in Libraries and Classrooms,31.054487,-97.563461,2021.0
Me and Earl and the Dying Girl,"Andrews, Jesse",Texas,Keller Independent School District,2021-11-01,Banned in Libraries,31.054487,-97.563461,2021.0
